X_UTM,Y_UTM,ELEV_M,SUR_METHOD,QUAD_NAME
552415.23,2827221.37,2.88,Truck,Goulds
552435.46,2826040.40,2.46,Truck,Goulds
552444.00,2824866.59,2.34,Truck,Goulds
552429.34,2826444.94,2.50,Truck,Goulds
552438.66,2825635.52,2.30,Truck,Goulds
552440.73,2825230.91,2.40,Truck,Goulds
552451.92,2823566.20,2.69,Truck,Goulds
552448.14,2823971.30,2.54,Truck,Goulds
552429.43,2824402.26,1.90,Truck,Goulds
552468.19,2822339.10,2.97,Truck,Goulds
552473.52,2821936.20,2.54,Truck,Goulds
552477.76,2821584.58,2.80,Truck,Goulds
552462.28,2822749.80,3.45,Truck,Goulds
552487.93,2820774.97,3.28,Truck,Goulds
552481.93,2821124.91,2.93,Truck,Goulds
552646.31,2834155.14,2.24,Truck,Goulds
552733.73,2832555.48,2.45,Truck,Goulds
552738.45,2832136.43,2.58,Truck,Goulds
552744.12,2831732.22,2.58,Truck,Goulds
552761.64,2830062.27,2.39,Truck,Goulds
552766.67,2829271.04,2.12,Truck,Goulds
552760.51,2831282.03,2.51,Truck,Goulds
552780.90,2830873.68,2.59,Truck,Goulds
552771.70,2825609.07,2.08,Truck,Goulds
552792.11,2827639.11,3.05,Truck,Goulds
552811.55,2828446.89,2.79,Truck,Goulds
552829.68,2826023.24,2.14,Truck,Goulds
552892.87,2823573.03,2.23,Truck,Goulds
552892.42,2824385.26,2.47,Truck,Goulds
552901.50,2822754.09,4.66,Truck,Goulds
552890.31,2821941.65,2.14,Truck,Goulds
553052.93,2825635.24,1.83,Truck,Goulds
553063.78,2834189.17,2.17,Truck,Goulds
553076.12,2833791.12,2.44,Truck,Goulds
553095.83,2833381.03,2.67,Truck,Goulds
553112.47,2832990.80,2.67,Truck,Goulds
553136.27,2832569.62,2.58,Truck,Goulds
553140.26,2832158.25,2.66,Truck,Goulds
553162.16,2830076.78,2.58,Truck,Goulds
553178.25,2829684.51,2.03,Truck,Goulds
553158.90,2829278.32,2.07,Truck,Goulds
553171.43,2831309.58,2.32,Truck,Goulds
553156.31,2831738.87,2.67,Truck,Goulds
553188.28,2830889.55,2.85,Truck,Goulds
553219.45,2828462.95,2.69,Truck,Goulds
553223.90,2827652.79,3.17,Truck,Goulds
553223.32,2828053.01,3.10,Truck,Goulds
553215.76,2828865.73,2.05,Truck,Goulds
553235.57,2826464.23,2.79,Truck,Goulds
553246.02,2827243.40,3.02,Truck,Goulds
553237.49,2826874.72,2.60,Truck,Goulds
553232.12,2826024.37,2.69,Truck,Goulds
553277.52,2824394.85,2.28,Truck,Goulds
553274.45,2823577.05,2.16,Truck,Goulds
553293.18,2822765.34,4.92,Truck,Goulds
553296.96,2821948.23,2.39,Truck,Goulds
553295.10,2822353.72,3.13,Truck,Goulds
553299.92,2821542.28,2.17,Truck,Goulds
553303.97,2821176.62,2.58,Truck,Goulds
553313.57,2820728.53,3.76,Truck,Goulds
553433.65,2825640.15,1.24,Truck,Goulds
553488.53,2833815.59,2.65,Truck,Goulds
553468.75,2834213.15,2.28,Truck,Goulds
553533.83,2828477.06,2.74,Truck,Goulds
553503.27,2833398.21,2.52,Truck,Goulds
553520.40,2833000.22,2.64,Truck,Goulds
553542.37,2832586.77,2.60,Truck,Goulds
553564.21,2832173.12,2.66,Truck,Goulds
553583.23,2831343.61,2.74,Truck,Goulds
553569.85,2831754.71,2.72,Truck,Goulds
553576.89,2829292.76,2.44,Truck,Goulds
553596.69,2830905.95,2.48,Truck,Goulds
553605.32,2827677.11,2.95,Truck,Goulds
553602.06,2828879.99,2.19,Truck,Goulds
553611.56,2830093.17,2.68,Truck,Goulds
553599.56,2826040.12,2.83,Truck,Goulds
553667.90,2825217.66,1.87,Truck,Goulds
553703.70,2824401.68,2.12,Truck,Goulds
553711.17,2822360.30,3.02,Truck,Goulds
553706.11,2822773.38,4.16,Truck,Goulds
553715.43,2821953.62,2.89,Truck,Goulds
553799.26,2821548.47,2.15,Truck,Goulds
553818.24,2821154.31,1.71,Truck,Goulds
553876.89,2834233.48,2.47,Truck,Goulds
553898.43,2833830.82,2.61,Truck,Goulds
553917.78,2833419.63,2.63,Truck,Goulds
553938.20,2833015.79,2.76,Truck,Goulds
553955.08,2832620.75,2.89,Truck,Goulds
553965.44,2832191.64,2.81,Truck,Goulds
553982.50,2830923.98,2.96,Truck,Goulds
553961.93,2831781.92,2.77,Truck,Goulds
553981.25,2831356.68,2.93,Truck,Goulds
554011.38,2830111.21,2.20,Truck,Goulds
554034.42,2828894.89,2.55,Truck,Goulds
554041.15,2828487.30,3.08,Truck,Goulds
554047.03,2828077.20,3.08,Truck,Goulds
554060.78,2827300.87,2.88,Truck,Goulds
554081.83,2825232.34,2.53,Truck,Goulds
554064.52,2826902.96,3.18,Truck,Goulds
554076.59,2826071.39,2.94,Truck,Goulds
554065.41,2826319.81,3.31,Truck,Goulds
554077.11,2825630.46,2.66,Truck,Goulds
554085.09,2824816.74,3.12,Truck,Goulds
554088.38,2824435.90,2.33,Truck,Goulds
554092.19,2823980.83,2.31,Truck,Goulds
554097.00,2823593.59,2.27,Truck,Goulds
554112.39,2822780.60,3.18,Truck,Goulds
554103.49,2823210.59,4.11,Truck,Goulds
554116.96,2822374.41,3.21,Truck,Goulds
554124.55,2821552.98,3.06,Truck,Goulds
554122.42,2821959.84,3.26,Truck,Goulds
554136.71,2820798.52,2.36,Truck,Goulds
554297.62,2834253.89,2.38,Truck,Goulds
554315.11,2833846.91,2.59,Truck,Goulds
554322.48,2833436.94,2.40,Truck,Goulds
554335.80,2833035.84,2.83,Truck,Goulds
554362.24,2830938.55,2.86,Truck,Goulds
554352.74,2832628.18,2.84,Truck,Goulds
554369.10,2831806.02,2.82,Truck,Goulds
554365.78,2832207.64,2.84,Truck,Goulds
554378.48,2825235.91,2.58,Truck,Goulds
